rule_id,rule_name,genes,cpic_level,cpic_guideline_pmids,indian_frequency_claim,indian_frequency_sources,data_quality,rank_score,observability_score,observability_rationale,opd_actionability_score,opd_actionability_rationale,ships_now
PGX_001,G6PD deficiency - oxidant drug hemolysis risk,G6PD,1A,24787449; 36049896,2-27.9% carrier prevalence depending on region/community (highest: Vataliya Prajapati Gujarat 27.9% males; tribal Odisha/Central India 6-8%; general population survey 1.9%; lowest in some North Indian cohorts <1%),"PMID:26139767 (7.7% national); PMID:33069889 (1.9%, N=20896); PMID:15226563; PMID:11345405 (27.9%); PMID:18568599; PMID:31833391; PMID:36384674; PMID:31061745; PMID:37674284 (Delhi newborn screening); PMID:29417859; PMID:39926832",INDIAN_DATA,27,2,"Acute haemolysis (dark urine, jaundice, fatigue) days after starting primaquine/dapsone is a well-documented, recognizable clinical pattern; weaker for nitrofurantoin/co-trimoxazole (rare reports despite wide use per CPIC).",3,"Dispensed at PHC/OPD level (malaria elimination programme, NLEP, routine antibiotics); point-of-care G6PD test or referral before dosing is an OPD-level action.",True
PGX_002,CYP2C19 poor/intermediate metabolizer - clopidogrel non-response,CYP2C19,1A,36094131,CYP2C19*2 allele frequency 0.34-0.36 (IndiGen national + South Indian CAD cohorts); GenomeIndia national poor-metabolizer phenotype ~15%,"PMID:35338580 (IndiGen, *2 AF=0.36); PMID:41028360 (South Indian CAD/clopidogrel cohort, 34% PM/IM carriers); PMID:37985132 (South Indian ACS cohort); medRxiv:10.64898/2026.03.20.26348801 (GenomeIndia, 15% PM phenotype)",INDIAN_DATA,27,3,"Recurrent stent thrombosis, recurrent ACS, or stroke on clopidogrel despite adherence is a strong, well-recognized signal of poor-metabolizer status.",3,Switching to prasugrel/ticagrelor or adding antiplatelet therapy is routine cardiology/OPD follow-up decision-making; genotyping increasingly available via referral.,True
PGX_003,VKORC1/CYP2C9/CYP4F2 - warfarin dose sensitivity,VKORC1; CYP2C9; CYP4F2,1A,28198005,VKORC1 -1639G>A AF 0.14-0.72 depending on region (IGVdb range 6.5%->70% across 24 subpopulations); CYP2C9*3 AF 0.09-0.17 (higher in North Indian anticoagulant cohorts),"PMID:35338580 (IndiGen, VKORC1 AF=0.18); PMID:25155935 (IGVdb, 24 subpopulations, VKORC1 range 6.5-70%); PMID:23563037 (North vs South Indian pilot); PMID:26781925 (North Indian valve-replacement cohort on acenocoumarol)",INDIAN_DATA,27,3,"Excessive INR/bleeding at low dose, or persistent sub-therapeutic INR at high dose, is a directly observable signal via routine INR monitoring already standard of care.",3,Dose titration via INR monitoring is routine OPD/anticoagulation-clinic practice; no new infrastructure needed.,True
PGX_004,NUDT15/TPMT - thiopurine-induced myelosuppression,NUDT15; TPMT,1A,30801620,"NUDT15*3 AF 0.068-0.107 in Indian thiopurine-treated cohorts (up to 20.8% in some Austro-Asiatic tribal groups); TPMT variants comparatively rare in India (*3C AF 0.02, *3A AF 0.003) -- NUDT15 is the dominant thiopurine-toxicity gene in South Asians, not TPMT","PMID:35338580 (IndiGen NUDT15*3=0.08, TPMT*3A/*3C); PMID:29470173 (Indian thiopurine cohort, NUDT15*3=0.107); PMID:32935219 (Indian GSA screening N=2000); medRxiv:10.64898/2026.03.20.26348801 (GenomeIndia tribal groups)",INDIAN_DATA,18,2,"Cytopenia (leukopenia) on routine follow-up CBC while on thiopurine therapy is a moderately specific signal, though confounded by disease activity and other marrow suppressants.",2,Dose reduction or alternative agent is an OPD-level decision once myelosuppression is flagged on routine CBC monitoring.,True
PGX_005,CYP2D6/CYP2C19 - tricyclic antidepressant metabolizer variability,CYP2D6; CYP2C19,1A,27997040,"CYP2D6 poor/intermediate-metabolizer alleles (*4, *10, *41) 6.6-32% depending on allele/region; CYP2C19*2 AF 0.36 nationally",PMID:35338580 (IndiGen); PMID:12942225 (South Indian Tamilian cohort); PMID:16880622 (South Indian states); PMID:31368850 (South Indian resequencing cohort),INDIAN_DATA,18,2,"Excess sedation/anticholinergic side effects (possible PM) vs. non-response at standard dose (possible UM) is a moderately usable signal on OPD follow-up, though confounded by other factors.",2,Dose titration for TCAs in OPD psychiatry/pain/neuropathy management is routine practice.,True
PGX_006,CYP2D6 - atomoxetine exposure variability,CYP2D6,1A,30801677,Same CYP2D6 PM/IM allele burden as above (6.6-32%),PMID:35338580; PMID:12942225; PMID:16880622; PMID:31368850,INDIAN_DATA,18,1,"Side-effect profile is nonspecific; atomoxetine use in Indian OPD/psychiatry is moderate but growing, behind stimulants -- weaker standalone signal.",2,Dose adjustment is possible at OPD/psychiatry follow-up level.,False
PGX_007,CYP2D6 - codeine analgesic failure/toxicity,CYP2D6,1A,33387367,Same CYP2D6 PM/IM/UM allele burden as above,PMID:35338580; PMID:12942225; PMID:16880622; PMID:31368850,INDIAN_DATA,18,1,"Poor analgesia (PM) or sedation/toxicity (UM) is observable but codeine use has declined in Indian OPD due to abuse-potential restrictions, reducing exposure and signal frequency.",2,Alternative analgesic can be chosen at OPD level.,False
PGX_008,CYP2C19 - proton pump inhibitor metabolizer variability,CYP2C19,1A,32770672,CYP2C19*2 AF 0.36 nationally (IndiGen); PM phenotype ~15% (GenomeIndia),PMID:35338580; medRxiv:10.64898/2026.03.20.26348801,INDIAN_DATA,18,1,"Poor symptom control at standard PPI dose could reflect ultrarapid metabolizer status, but is heavily confounded by H. pylori status, adherence, and lifestyle -- weak standalone signal.",2,Dose/drug switch (e.g. to a non-CYP2C19-dependent option) is a routine OPD decision for reflux/PUD.,False
PGX_009,HLA-B*15:02 / HLA-A*31:01 - carbamazepine severe cutaneous reaction risk,HLA-B; HLA-A,1A,23695185,HLA-B*15:02 ~3% carrier prevalence (IndiGen); strong disease association in Indian case-control studies (OR up to 38.5); HLA-A*31:01 ~2% carrier prevalence (IndiGen),"PMID:35338580 (IndiGen); PMID:25266342 (meta-analysis, Malaysian-Indian + India-pooled, OR 38.54); PMID:25305458 (North Indian case-control); PMID:29076187 (Kerala case-control)",INDIAN_DATA,12,2,"SJS/TEN is a severe, recognizable ADR, but by the time it is observed, harm has already occurred -- this is a pre-emptive flag, not a post-hoc one.",2,"Pre-prescription HLA-B*15:02 screening exists but is not routinely ordered in Indian OPD; if unavailable, doctor can choose an alternative anticonvulsant empirically, especially with prior history.",True
PGX_010,NAT2 slow acetylator - isoniazid hepatotoxicity risk,NAT2,1B,N/A,"Slow-acetylator phenotype 44-74% depending on region (Mumbai 55%, North India 44-53%, South India 67-74%; Chennai TB cohort 58% slow)","PMID:28862181 / PMC5460557 (IJMR, Chennai NAT2 genotyping); Dovepress review 'NAT2 Acetylation Phenotypes in India'",INDIAN_DATA,12,2,"Hepatotoxicity (deranged LFTs) or peripheral neuropathy on isoniazid is a recognizable, commonly monitored OPD/NTEP signal.",2,"Isoniazid dosing is standardized under NTEP weight-band protocols, but LFT monitoring and drug switch/interruption on hepatotoxicity is an OPD-level decision.",True
